Vozvrashchenie;Drama;;;110;66
Bom yeoreum gaeul gyeoul geurigo bom;Drama;Romance;;103;68
Mar adentro;Biography;Drama;;126;59
Cinderella Man;Biography;Drama;History;144;55
Mou gaan dou;Action;Crime;Drama;101;60
Pirates of the Caribbean: The Curse of the Black Pearl;Action;Adventure;Fantasy;143;50
Big Fish;Adventure;Drama;Fantasy;125;80
The Incredibles;Animation;Action;Adventure;115;72
Yeopgijeogin geunyeo;Comedy;Drama;Romance;137;80
Dogville;Crime;Drama;;178;80
Vizontele;Comedy;Drama;;110;80
Donnie Darko;Drama;Mystery;Sci-Fi;113;70
Magnolia;Drama;;;188;62
Dancer in the Dark;Crime;Drama;Musical;140;49
The Straight Story;Biography;Drama;;112;69
Pâfekuto bur?;Animation;Crime;Mystery;81;80
Festen;Drama;;;105;66
Central do Brasil;Drama;;;110;64
The Iron Giant;Animation;Action;Adventure;86;68
Knockin' on Heaven's Door;Action;Crime;Comedy;87;80
Sling Blade;Drama;;;135;67
Secrets & Lies;Comedy;Drama;;136;73
Twelve Monkeys;Mystery;Sci-Fi;Thriller;129;59
Kôkaku Kidôtai;Animation;Action;Crime;83;61
The Nightmare Before Christmas;Animation;Family;Fantasy;76;66
Groundhog Day;Comedy;Fantasy;Romance;101;58
Bound by Honor;Crime;Drama;;180;80
Scent of a Woman;Drama;;;156;80
Aladdin;Animation;Adventure;Comedy;90;69
JFK;Drama;History;Thriller;189;58
Beauty and the Beast;Animation;Family;Fantasy;84;76
Dances with Wolves;Adventure;Drama;Western;181;58
Do the Right Thing;Comedy;Drama;;120;74
Rain Man;Drama;;;133;52
Akira;Animation;Action;Sci-Fi;124;80
The Princess Bride;Adventure;Family;Fantasy;98;62
Der Himmel über Berlin;Drama;Fantasy;Romance;128;63
Au revoir les enfants;Drama;War;;104;70
Tenk? no shiro Rapyuta;Animation;Adventure;Drama;125;62
The Terminator;Action;Sci-Fi;;107;67
Gandhi;Biography;Drama;History;191;63
Kagemusha;Drama;History;War;180;67
Being There;Comedy;Drama;;130;66
Annie Hall;Comedy;Romance;;93;74
Jaws;Adventure;Thriller;;124;70
Dog Day Afternoon;Biography;Crime;Drama;125;69
Young Frankenstein;Comedy;;;106;64
Papillon;Biography;Crime;Drama;151;80
The Exorcist;Horror;;;122;65
Sleuth;Mystery;Thriller;;138;80
The Last Picture Show;Drama;Romance;;118;74
Fiddler on the Roof;Drama;Family;Musical;181;54
Il conformista;Drama;;;113;80
Butch Cassidy and the Sundance Kid;Biography;Crime;Drama;110;53
Rosemary's Baby;Drama;Horror;;137;77
Planet of the Apes;Adventure;Sci-Fi;;112;63
The Graduate;Comedy;Drama;Romance;106;66
Who's Afraid of Virginia Woolf?;Drama;;;131;60
The Sound of Music;Biography;Drama;Family;172;50
Doctor Zhivago;Drama;Romance;War;197;55
Per un pugno di dollari;Action;Drama;Western;99;52
8?;Drama;;;138;73
Vivre sa vie: Film en douze tableaux;Drama;;;80;80
The Hustler;Drama;Sport;;134;72
La dolce vita;Comedy;Drama;;174;76
Rio Bravo;Action;Drama;Western;141;74
Anatomy of a Murder;Crime;Drama;Mystery;161;76
Touch of Evil;Crime;Drama;Film-Noir;95;79
Cat on a Hot Tin Roof;Drama;;;108;67
Sweet Smell of Success;Drama;Film-Noir;;96;80
The Killing;Crime;Drama;Film-Noir;84;73
The Night of the Hunter;Crime;Drama;Film-Noir;92;79
La Strada;Drama;;;108;80
Les diaboliques;Crime;Drama;Horror;117;80
Stalag 17;Comedy;Drama;War;120;67
Roman Holiday;Comedy;Romance;;118;62
A Streetcar Named Desire;Drama;;;122;78
In a Lonely Place;Drama;Film-Noir;Mystery;94;80
Kind Hearts and Coronets;Comedy;Crime;;106;80
Rope;Crime;Drama;Mystery;80;58
